00201221234567,00201001234567,1,120,10:03:20,0
00201221234567,00201001234567,1,60,10:15:00,0
00201221234567,00201991234567,2,1,10:30:00,0
00201221234567,http://www.google.com,3,512000,11:00:00,10
00201001234567,00201221234567,1,300,11:30:00,0
00201001234567,http://www.youtube.com,3,1048576,12:00:00,25
00201111234567,00201551234567,1,180,13:00:00,0
00201111234567,00201221234567,2,3,13:15:00,0
00201551234567,http://www.facebook.com,3,2097152,14:00:00,50
00201551234567,00201111234567,1,240,14:30:00,0
